source,target,weight
NAP1L1 , P06790,1
TAF6 , P06790,1
CEBPB , P06790,1
CEBPA , P06790,1
SMN1 , P06790,1
BRD4 , P06790,1
EP300 , P06422,1
NAP1L1 , P06422,1
CEBPB , P06422,1
CEBPA , P06422,1
CREBBP , P03074,1
EP300 , P03074,1
CREBBP , P03259,1
EP300 , P03259,1
PSMC5 , P03259,1
YY1 , P03259,1
POU5F1 , P03259,1
CITED1 , P03259,1
PSMC3 , P03255,1
KAT2A , P03255,1
TRRAP , P03255,1
DYRK1B , P03255,1
ZMYND11 , P03255,1
CCNA1 , P03255,1
RARB , P03255,1
MED28 , P03255,1
PSMC6 , P03255,1
CTBP1 , P03255,1
CREBBP , P03255,1
EP300 , P03255,1
PSMC5 , P03255,1
POU5F1 , P03255,1
RBL2 , P03255,1
RBL1 , P03255,1
RB1 , P03255,1
KAT2B , P03255,1
TBP , P03255,1
TAF1 , P03255,1
STAT1 , P03255-2,1
GNB2L1 , P03255-2,1
MDM4 , P03255-2,1
PSMC3 , P03255-2,1
KAT2A , P03255-2,1
TRRAP , P03255-2,1
DYRK1B , P03255-2,1
ZMYND11 , P03255-2,1
CREBBP , P03255-2,1
EP300 , P03255-2,1
PSMC5 , P03255-2,1
RAN , P03255-2,1
RB1 , P03255-2,1
KAT2B , P03255-2,1
STAT1 , P03255-1,1
PSMC3 , P03255-1,1
EP300 , P03255-1,1
PSMC5 , P03255-1,1
RAN , P03255-1,1
RB1 , P03255-1,1
PSMC5 , P03259-1,1
RPA1 , P03070,1
CREBBP , P03070,1
EP300 , P03070,1
PSMC5 , P03070,1
RAN , P03070,1
HDAC1 , P03070,1
CDK1 , P03070,1
CCNA2 , P03070,1
CDK2 , P03070,1
CSNK2A1 , P03070,1
POLA1 , P03070,1
H1F0 , P03070,1
TOP1 , P03070,1
FBXW11 , P03070,1
FBXW7 , P03070,1
TEAD1 , P03070,1
BUB3 , P03070,1
IRS1 , P03070,1
KPNA4 , P03070,1
KIN , P03070,1
UBTF , P03070,1
BUB1 , P03070,1
PURA , P03070,1
BTRC , P03070,1
RB1 , P03070,1
RPA2 , P03070,1
GTF2B , P03070,1
TBP , P03070,1
TAF1 , P03070,1
TP53 , P03070,1
KPNA2 , P03070,1
SP1 , P03070,1
CREBBP , P03129,1
EP300 , P03129,1
RAN , P03129,1
HDAC1 , P03129,1
CDK1 , P03129,1
CCNA2 , P03129,1
CDK2 , P03129,1
CSNK2A1 , P03129,1
POU5F1 , P03129,1
RBL2 , P03129,1
RBL1 , P03129,1
RB1 , P03129,1
KAT2B , P03129,1
JUND , P03129,1
CHD4 , P03129,1
JUNB , P03129,1
RPS25 , P03129,1
NOLC1 , P03129,1
SIVA1 , P03129,1
PSMC1 , P03129,1
FOXM1 , P03129,1
E2F3 , P03129,1
E2F4 , P03129,1
E2F2 , P03129,1
FOS , P03129,1
SNW1 , P03129,1
TFDP2 , P03129,1
CCNE2 , P03129,1
DNAJA3 , P03129,1
CDKN1A , P03129,1
