source,target,weight
LTBP4 , P0C6Z1,1
GRN , P0C6Z1,1
VWF , P0C6Z1,1
GPRASP1 , P03188,1
AP2B1 , P03188,1
LAMB1 , P03188,1
PDE6G , P03188,1
FAM168B , P03188,1
TRAF2 , P03188,1
LZTS2 , P03188,1
VIM , P03188,1
FN1 , P03188,1
LTBP4 , P03188,1
GRN , P03188,1
VWF , P03188,1
FBLN5 , P03188,1
TRAF2 , P0C723,1
SEPP1 , P0C723,1
PHYHD1 , P0C723,1
NTN4 , P0C723,1
EFEMP1 , P0C723,1
PLSCR1 , P0C723,1
SNX4 , P0C723,1
PARP4 , P0C723,1
LZTS2 , P0C723,1
FBLN5 , P0C723,1
SH3GLB1 , P0C723,1
SEPP1 , P03204,1
VWF , P03204,1
FBLN5 , P03204,1
PSMA3 , P03204,1
FBLN5 , Q777B8,1
ELF2 , P03227,1
FBLN5 , P03227,1
ZMYND11 , P12978,1
EFEMP2 , P12978,1
FBLN5 , P12978,1
SH3GLB1 , P12978,1
AES , P12978,1
DYNLL1 , P12978,1
RCBTB1 , P12978,1
CD46 , P12978,1
SRI , P12978,1
CBX3 , P12978,1
BLNK , P12978,1
FCHSD1 , P12978,1
KRT36 , P12978,1
GCA , P12978,1
CD5L , P12978,1
PSMA3 , P12978,1
ACTN1 , P03203,1
ZYX , P03203,1
ACTN4 , P03203,1
SH3GLB1 , P03203,1
PSMA3 , P03203,1
PSME3 , Q777C4,1
LTBP4 , Q777C4,1
PSMA3 , Q777C4,1
TES , Q777C4,1
APOL3 , Q777C4,1
SERTAD1 , P03189,1
PSMA3 , P03189,1
SERTAD1 , Q1HVD9,1
PKM , P03228,1
ACTN1 , P03228,1
SARAF , P03228,1
SERTAD1 , P03228,1
PKM , P26663,1
PKM , P03233,1
ACTN1 , P03233,1
PSME3 , P03233,1
RNF31 , P03233,1
MMRN2 , P03233,1
EFEMP1 , P03233,1
EFEMP2 , P03233,1
PSMA3 , P03233,1
TSG101 , P03233,1
IMMT , P03233,1
NCKIPSD , P03233,1
NCKIPSD , P15054,1
RAF1 , P15054,1
HCK , P04324,1
MAP3K5 , P04324,1
AP1B1 , P04324,1
LYN , P04604,1
HCK , P04604,1
SRC , P04604,1
LYN , P03407,1
HCK , P03407,1
FYN , P03407,1
SRC , P03407,1
LYN , Q9QPN3,1
HCK , Q9QPN3,1
FYN , Q9QPN3,1
SRC , Q9QPN3,1
LYN , Q85737,1
HCK , Q85737,1
FYN , Q85737,1
SRC , Q85737,1
LYN , Q9E3E3,1
HCK , Q9E3E3,1
FYN , Q9E3E3,1
RAF1 , O39474,1
FKBP5 , O39474,1
GRB2 , O39474,1
FKBP8 , O39474,1
LCK , O39474,1
LYN , O39474,1
HCK , O39474,1
FYN , O39474,1
CD4 , P22575,1
LCK , P22575,1
LYN , P22575,1
BTRC , P69700,1
CD4 , P69700,1
BTRC , O09528,1
CD4 , O09528,1
